'bao'chi'xin'shu 保赤新书
'bao'tong'mi'yao 保童秘要
'bao'ying'cuo'yao 保婴撮要
'bei'ji'qian'jin'yao'fang 备急千金要方
'ben'cao'bei'yao 本草备要
'ben'cao'cong'xin 本草从新
'ben'cao'gang'mu 本草纲目
'ben'cao'jing'ji'zhu 本草经集注
'ben'cao'wen'da 本草问答
'bin'hu'mai'xue 濒湖脉学
'bin'hu'shan'ren 濒湖山人
'bo'ji'xi'dou'fang'lun 博集稀痘方论
'bo'lu'yi'an 泊庐医案
'cai'xiao'sun 蔡小荪
'ceng'de'xian 曾德显
'ceng'shi'rong 曾世荣
'cha'yu'ming 查玉明
'chan'yu'bao'qing'ji 产育宝庆集
'chao'en'xiang 晁恩祥
'chao'yuan'fang 巢元方
'chen'chao'zu 陈潮祖
'chen'fei'xia 陈飞霞
'chen'fu'zheng 陈复正
'chen'ji'fan 陈纪藩
'chen'jing'he 陈镜合
'chen'jiu'shao 陈九韶
'chen'ke'ji 陈可冀
'chen'kun'shan 陈崑山
'chen'liang'fu 陈良甫
'chen'nian'zu 陈念祖
'chen'rui'chun 陈瑞春
'chen'shi'gong 陈实功
'chen'si'cheng 陈司成
'chen'wen'xiu 陈文秀
'chen'wen'zhong 陈文中
'chen'xiu'yuan 陈修园
'chen'yi'yun 陈益昀
'chen'yu'ren 陈毓仁
'chen'zi'ming 陈自明
'cheng'guo'peng 程国彭
'cheng'wu'ji 成无己
'cheng'xin'nong 程莘农
'cheng'zhong'ling 程钟龄
'chong'lou'yu'yao 重楼玉钥
'chu'cheng 褚澄
'chu'shi'yi'shu 褚氏遗书
'chu'yan'dao 褚彦道
'chun'yu'yi 淳于意
'ci'shi'nan'zhi 此事难知
'da'sheng'pian 达生篇
'dai'si'gong 戴思恭
'dai'su'zhai 戴肃斋
'dai'tian'zhang 戴天章
'dai'yu'guang 戴裕光
'dai'yuan'li 戴原礼
'deng'tie'tao 邓铁涛
'deng'ya'ping 邓亚平
'deng'zhong'jia 邓中甲
'ding'e 丁锷
'ding'gan'ren 丁甘仁
'ding'qi'hou 丁启后
'ding'ze'min 丁泽民
'dong'ji 董汲
'dong'ji'zhi 董及之
'dou'zhen'jin'jing'fu'ji'jie 痘疹金镜赋集解
'dou'zhen'xin'fa 痘疹心法
'du'guo'jin'kui'yao'lue 读过金匮要略
'du'guo'shang'han'lun 读过伤寒论
'duan'fu'jin 段富津
'fan'yue'guang 樊粤光
'fang'he'qian 方和谦
'fang'xian'zhi 方先之
'fu'ke'yu'chi 妇科玉尺
'fu'qing'zhu 傅青主
