'ben'cao'bei'yao 本草备要
'ben'cao'cong'xin 本草从新
'cai'xiao'sun 蔡小荪
'cha'yu'ming 查玉明
'chao'en'xiang 晁恩祥
'chao'yuan'fang 巢元方
'chen'chao'zu 陈潮祖
'chen'ke'ji 陈可冀
'chen'kun'shan 陈崑山
'chen'rui'chun 陈瑞春
'chen'xiu'yuan 陈修园
'chen'yi'yun 陈益昀
'cheng'wu'ji 成无己
'cheng'xin'nong 程莘农
'chun'yu'yi 淳于意
'dai'yu'guang 戴裕光
'deng'tie'tao 邓铁涛
'deng'ya'ping 邓亚平
'deng'zhong'jia 邓中甲
'ding'e 丁锷
'ding'gan'ren 丁甘仁
'ding'qi'hou 丁启后
'ding'ze'min 丁泽民
'duan'fu'jin 段富津
'fan'yue'guang 樊粤光
'fang'he'qian 方和谦
'fang'xian'zhi 方先之
'fu'qing'zhu 傅青主
'gan'zu'wang 干祖望
'gao'gui'lin 高桂林
'ge'hong 葛洪
'ge'lin'yi 葛琳仪
'gong'qing'xuan 龚庆宣
'guo'shi'kui 郭士魁
'guo'wei'huai 郭维淮
'guo'zi'guang 郭子光
'han'zhi'he 韩祗和
'he'ren 何任
'hu'ting'guang 胡廷光
'huang'huang 黄煌
'huang'yuan'yu 黄元御
'ji'sheng'fang 济生方
'jiao'shu'de 焦树德
'jin'chuang'mi'chuan'jin'fang 金疮秘传禁方
'jin'rui 靳瑞
'jin'san'zhen 靳三针
'kong'bo'hua 孔伯华
'lei'shao'yi 雷少逸
'li'dong'yuan 李东垣
'li'fa'zhi 李发枝
'li'gao 李杲
'li'jie'ming 李介鸣
'li'ke 李可
'li'yue'pian'wen 理瀹骈文
'li'zhong'nan 李仲南
'liang'yong'cai 梁勇才
'lin'dao'ren 蔺道人
'lin'jin'tao 林锦涛
'lin'zheng 临证
'lin'zheng'zhi'nan'yi'an 临证指南医案
'liu'juan'zi'gui'yi'liu'fang 刘娟子鬼遗留方
'liu'ya'xian 刘亚娴
'lu'chong'han 卢崇汉
'lu'jiu'zhi 陆九芝
'lv'ying 吕英
'ma'rui'ting 麻瑞亭
'meng'jing'chun 孟景春
'ming'yi'bie'lu 名医别录
'pang'an'shi 庞安时
'pu'fu'zhou 蒲辅周
'pu'ji'fang 普济方
'qian'xiu'chang 钱秀昌
'qian'yi 钱乙
'ren'ji'xue 任继学
'shang'ke'bu'yao 伤科补要
'shang'ke'hui'zuan 伤科汇纂
'shang'tian'yu 尚天裕
'shen'ning'sheng 谌宁生
'sheng'ji'zong'lu 圣济总录
'shi'jin'mo 施今墨
'shi'yi'de'xiao'fang 世医得效方
'shi'zhai'bai'yi'xuan'fang 是斋百一选方
'sun'si'miao 孙思邈
'tang'rong'chuan 唐容川
'tang'zong'hai 唐宗海
'tao'hong'jing 陶弘景
'wai'tai'mi'yao 外台秘要
'wang'fu 王付
'wang'ken'tang 王肯堂
'wang'meng'ying 王孟英
'wang'mian'zhi 王冕之
'wang'qing'ren 王清任
'wang'shi'xiong 王士雄
'wang'tao 王焘
'wei'yi'lin 危亦林
'wu'ju'tong 吴鞠通
'wu'pei'heng 吴佩衡
'wu'tang 吴塘
'wu'you'ke 吴又可
'wu'you'xing 吴有性
'xi'yuan'ji'lu 洗冤集录
'xian'shou'li'shang'xu'duan'mi'fang 仙授理伤续断秘方
'xu'da'chun 徐大椿
'xu'ling'tai 徐灵胎
'xu'ming'yi'lei'an 续名医类案
'xue'ji 薛己
'xue'sheng'bai 薛生白
'xue'xue 薛雪
'xue'zheng'lun 血证论
'yang'ke'xin'de'ji 疡科心得集
'ye'gui 叶桂
'ye'tian'shi 叶天士
'yi'an 医案
'yi'hua 医话
'yi'lin'gai'cuo 医林改错
'yi'shuo 医说
'yi'xue'qi'yuan 医学启源
'yue'mei'zhong 岳美中
'yun'shu'jue 恽树珏
'yun'tie'qiao 恽铁樵
'zhang'jing'yue 张景岳
'zhang'shou'fu 张寿甫
'zhang'xi'chun 张锡纯
'zhang'zan'chen 张赞臣
'zhao'kai'mei 赵开美
'zhao'shao'qin 赵绍琴
'zheng'qin'an 郑钦安
'zheng'shou'quan 郑寿全
'zhu'dan'xi 朱丹溪
'zhu'pei'wen 朱沛文
'zhu'shao'lian 朱少廉
'zhu'shen'yu 祝谌予
'zhu'wei'ju 祝味菊
'zhu'xiao'nan 朱小南
